is_counter,is_punish,possible_moves,frame
1,0,N/A,0
0,0,N/A,10
0,0,N/A,20
0,0,N/A,30
0,0,N/A,40
0,0,N/A,50
0,0,N/A,60
0,0,N/A,70
0,0,N/A,80
0,0,N/A,90
0,0,N/A,100
0,0,N/A,110
0,0,N/A,120
0,0,N/A,130
1,0,N/A,140
1,0,N/A,150
1,0,N/A,160
1,0,N/A,170
1,0,N/A,180
1,0,N/A,190
0,0,N/A,200
0,0,N/A,210
0,0,N/A,220
0,0,N/A,230
0,0,N/A,240
0,0,N/A,250
1,0,N/A,260
1,0,N/A,270
1,0,N/A,280
1,0,N/A,290
1,0,N/A,300
1,0,N/A,310
1,0,N/A,320
1,0,N/A,330
1,0,N/A,340
1,0,N/A,350
1,0,N/A,360
1,0,N/A,370
1,0,N/A,380
1,0,N/A,390
1,0,N/A,400
1,0,N/A,410
1,0,N/A,420
1,0,N/A,430
1,0,N/A,440
1,0,N/A,450
1,0,N/A,460
1,0,N/A,470
1,0,N/A,480
1,0,N/A,490
1,0,"1,1",500
1,0,"1,1",510
1,0,"1,1",520
1,0,"1,1",530
0,0,"1,1",540
0,0,"1,1",550
0,0,"1,1",560
0,0,"1,1",570
0,0,"1,1",580
0,0,"1,1",590
0,0,"1,1",600
0,0,"1,1",610
0,0,"1,1",620
0,0,ub+1+2,630
0,0,ub+1+2,640
0,0,ub+1+2,650
0,0,ub+1+2,660
0,0,N/A,670
0,0,N/A,680
0,0,ub+1+2,690
0,0,N/A,700
0,0,ub+1+2,710
0,0,db+2+3,720
0,0,db+2+3,730
0,0,db+2+3,740
0,0,db+2+3,750
0,0,db+2+3,760
0,0,H.2+3,770
0,0,N/A,780
0,0,H.2+3,790
0,0,H.2+3,800
0,0,H.2+3,810
0,0,N/A,820
0,0,N/A,830
0,0,N/A,840
0,0,N/A,850
0,0,N/A,860
0,0,N/A,870
0,0,N/A,880
0,0,N/A,890
0,0,N/A,900
0,0,N/A,910
0,0,N/A,920
0,0,N/A,930
0,0,N/A,940
0,0,f+3+4,950
0,0,f+3+4,960
0,0,f+3+4,970
0,0,f+3+4,980
0,0,f+3+4,990
0,0,f+3+4,1000
0,0,f+3+4,1010
1,0,f+3+4,1020
1,0,f+3+4,1030
1,0,f+3+4,1040
1,0,f+3+4,1050
0,0,f+3+4,1060
0,0,f+3+4,1070
0,0,f+3+4,1080
0,0,f+3+4,1090
0,0,f+3+4,1100
0,0,N/A,1110
0,0,N/A,1120
0,0,N/A,1130
0,0,"b+2,1",1140
0,0,"b+2,1",1150
0,0,"b+2,1,1+2",1160
0,0,"b+2,1,1+2",1170
0,0,"b+2,1,1+2",1180
0,0,"b+2,1,1+2",1190
0,0,"b+2,1,1+2",1200
0,0,"b+2,1,1+2",1210
0,0,"b+2,1,1+2",1220
0,0,H.df+2+3,1230
0,0,H.df+2+3,1240
0,0,H.df+2+3,1250
0,0,H.df+2+3,1260
0,0,H.df+2+3,1270
0,0,H.df+2+3,1280
0,0,H.df+2+3,1290
0,0,H.df+2+3,1300
0,0,H.df+2+3,1310
0,0,H.df+2+3,1320
0,0,H.df+2+3,1330
0,0,H.df+2+3,1340
0,0,H.df+2+3,1350
0,0,H.df+2+3,1360
0,0,H.df+2+3,1370
0,0,H.df+2+3,1380
0,0,H.df+2+3,1390
0,0,H.df+2+3,1400
0,0,2+3,1410
0,0,2+3,1420
0,0,2+3,1430
0,0,N/A,1440
0,0,N/A,1450
0,0,N/A,1460
0,0,"b+2,2",1470
0,0,"b+2,2",1480
0,0,"b+2,2",1490
0,0,"b+2,2",1500
0,0,"b+2,2",1510
0,0,"b+2,2",1520
1,0,N/A,1530
1,0,N/A,1540
1,0,N/A,1550
1,0,"b+2,2",1560
1,0,"b+2,2",1570
0,0,"b+2,2",1580
0,0,"b+2,2",1590
0,0,"b+2,2",1600
0,0,"b+2,2",1610
